"species","latitude","longitude","source"
"Rhinolophus pusillus",35.26329,113.19641,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",35.37572,113.32312,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",35.59344,113.63899,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",36.10027,113.71751,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",32.53435,113.71781,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",35.7255,113.77819,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",32.66076,113.79366,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",35.66483,113.80853,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",35.87898,113.87634,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
"Rhinolophus pusillus",32.09712,114.36027,"Bu, Y., Wang, Y., Liu, W., Yu, Y., He, X., Peng, T., & Niu, H. (2014). Diversity and conservation of cave-dwelling bats in Henan Province, China. Acta Theriologica Sinica, 34(3), 252."
